,Mean accuracy,Mean Loss
"stddev = 0.01, Nodes = 1024, Dropout = 0.25",0.7722000122070313,0.47870829701423645
"stddev = 0.01, Nodes = 512, Dropout = 0.25",0.7679999947547913,0.4840039849281311
"stddev = 0.05, Nodes = 1024, Dropout = 0.25",0.7651999950408935,0.481879848241806
"stddev = 0.05, Nodes = 512, Dropout = 0.25",0.7608000040054321,0.49764734506607056
"stddev = 0.01, Nodes = 1024, Dropout = 0.5",0.7608000040054321,0.4945653200149536
"stddev = 0.01, Nodes = 512, Dropout = 0.5",0.7674000144004822,0.4990906953811646
"stddev = 0.05, Nodes = 1024, Dropout = 0.5",0.7685999989509582,0.4885732352733612
"stddev = 0.05, Nodes = 512, Dropout = 0.5",0.75239999294281,0.5181067943572998
